# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02819e-05 to 1.05413 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.494897656872e-01       2.007031591055e-02      -1.625799613564e+04      -1.634299834440e+04       2.042337852249e-02      -1.632418567598e+04       3.658501937333e-02       3.658501937333e-02 
       1.544925163510e-01       1.900384228783e-02      -1.643597409171e+04      -1.653057887786e+04       1.933816798565e-02      -1.651011286799e+04       3.464414391265e-02       3.464414391265e-02 
       1.596609796727e-01       1.804475133290e-02      -1.666349868135e+04      -1.676512334780e+04       1.836220386252e-02      -1.674342096203e+04       3.289586437593e-02       3.289586437593e-02 
       1.650012663827e-01       1.722242804791e-02      -1.698577615637e+04      -1.709025439127e+04       1.752542468276e-02      -1.706798404502e+04       3.139802701984e-02       3.139802701984e-02 
       1.705195449989e-01       1.654024916425e-02      -1.742617065088e+04      -1.752883137624e+04       1.683124665174e-02      -1.750673908509e+04       3.015446407830e-02       3.015446407830e-02 
       1.762220589654e-01       1.596867592489e-02      -1.797303138714e+04      -1.807011703105e+04       1.624958822879e-02      -1.804879965768e+04       2.910867701262e-02       2.910867701262e-02 
       1.821151481601e-01       1.545414404650e-02      -1.858409476543e+04      -1.867411913341e+04       1.572599191106e-02      -1.865380646330e+04       2.816890783654e-02       2.816890783654e-02 
       1.882052756108e-01       1.493163236468e-02      -1.918304023562e+04      -1.926759454602e+04       1.519428274948e-02      -1.924802444645e+04       2.721555910601e-02       2.721555910601e-02 
       1.944990602566e-01       1.434965342958e-02      -1.969183974325e+04      -1.977528753156e+04       1.460206822206e-02      -1.975575735904e+04       2.615491747146e-02       2.615491747146e-02 
       2.010033166097e-01       1.369022749719e-02      -2.006641917493e+04      -2.015441947057e+04       1.393108888012e-02      -2.013402289810e+04       2.495851813604e-02       2.495851813604e-02 
       2.077251022017e-01       1.298658439291e-02      -2.031920284417e+04      -2.041646175121e+04       1.321502998857e-02      -2.039444796382e+04       2.367165795114e-02       2.367165795114e-02 
       2.146717737577e-01       1.228012124407e-02      -2.051719157689e+04      -2.062532577598e+04       1.249618409814e-02      -2.060144053302e+04       2.238939635002e-02       2.238939635002e-02 
       2.218510531358e-01       1.163446993537e-02      -2.075343140420e+04      -2.087003764359e+04       1.183916362569e-02      -2.084467117416e+04       2.121127351386e-02       2.121127351386e-02 
       2.292711042179e-01       1.108432845847e-02      -2.111362467347e+04      -2.123322545021e+04       1.127932376160e-02      -2.120725670477e+04       2.020600857734e-02       2.020600857734e-02 
       2.369406221479e-01       1.062751197675e-02      -2.162848880976e+04      -2.174522379128e+04       1.081449634618e-02      -2.171958687673e+04       1.937613699099e-02       1.937613699099e-02 
       2.448689366170e-01       1.023199264286e-02      -2.224369202026e+04      -2.235451378322e+04       1.041198811521e-02      -2.232968877901e+04       1.865133679778e-02       1.865133679778e-02 
       2.530661313066e-01       9.834695394597e-03      -2.284765176661e+04      -2.295418897098e+04       1.000774415867e-02      -2.292990724646e+04       1.793200828579e-02       1.793200828579e-02 
       2.615431821533e-01       9.406439463808e-03      -2.333437702071e+04      -2.344206485853e+04       9.571903937100e-03      -2.341745261351e+04       1.714539630476e-02       1.714539630476e-02 
       2.703121178459e-01       8.934776892481e-03      -2.367216206044e+04      -2.378680695767e+04       9.091950633591e-03      -2.376093745204e+04       1.628647981982e-02       1.628647981982e-02 
       2.793862069382e-01       8.457446069630e-03      -2.393413838010e+04      -2.405796936644e+04       8.606241612008e-03      -2.403049213472e+04       1.541868821908e-02       1.541868821908e-02 
       2.887801772645e-01       8.022900561824e-03      -2.425512741503e+04      -2.438521964346e+04       8.164061155303e-03      -2.435660606420e+04       1.462772204907e-02       1.462772204907e-02 
       2.985104750560e-01       7.653129391379e-03      -2.471881978035e+04      -2.484940721891e+04       7.787757797375e-03      -2.482057906471e+04       1.395042513627e-02       1.395042513627e-02 
       3.085955734480e-01       7.326411269498e-03      -2.529994685232e+04      -2.542715940220e+04       7.455315731599e-03      -2.539872919635e+04       1.335756474456e-02       1.335756474456e-02 
       3.190563431372e-01       7.009965763836e-03      -2.587507877075e+04      -2.600019216756e+04       7.133281068516e-03      -2.597194869064e+04       1.277804621065e-02       1.277804621065e-02 
       3.299165021132e-01       6.672935489908e-03      -2.633485435243e+04      -2.646292606242e+04       6.790318275194e-03      -2.643405802374e+04       1.216327274621e-02       1.216327274621e-02 
       3.412031671062e-01       6.323350617907e-03      -2.669448575603e+04      -2.682933282423e+04       6.434608332896e-03      -2.679923163614e+04       1.152898089887e-02       1.152898089887e-02 
       3.529475373420e-01       5.994556063064e-03      -2.706944389108e+04      -2.720985758628e+04       6.100007718421e-03      -2.717872063002e+04       1.092706136732e-02       1.092706136732e-02 
       3.651857524131e-01       5.701153422449e-03      -2.756314587280e+04      -2.770461041783e+04       5.801447264350e-03      -2.767315761039e+04       1.039263681207e-02       1.039263681207e-02 
       3.779599821545e-01       5.430887524070e-03      -2.813194013231e+04      -2.827217014570e+04       5.526435954924e-03      -2.824076156170e+04       9.901008855400e-03       9.901008855400e-03 
       3.913198298620e-01       5.161277158451e-03      -2.865953302228e+04      -2.880109919417e+04       5.252081270155e-03      -2.876931749778e+04       9.409369678274e-03       9.409369678274e-03 
       4.053241650187e-01       4.886603916300e-03      -2.910496177434e+04      -2.925140360340e+04       4.972564982874e-03      -2.921868141506e+04       8.907386643930e-03       8.907386643930e-03 
       4.200435544926e-01       4.621467555547e-03      -2.956023663282e+04      -2.971105143466e+04       4.702766091172e-03      -2.967746985302e+04       8.424282210701e-03       8.424282210701e-03 
       4.355635429902e-01       4.375778262362e-03      -3.010129854841e+04      -3.025336082172e+04       4.452765648461e-03      -3.021941709787e+04       7.977700424188e-03       7.977700424188e-03 
       4.519891634850e-01       4.141847527047e-03      -3.067759206629e+04      -3.083069979688e+04       4.214707743756e-03      -3.079641762419e+04       7.549858976158e-03       7.549858976158e-03 
       4.694512703745e-01       3.905250380660e-03      -3.120830964948e+04      -3.136513855574e+04       3.973959863206e-03      -3.133008431332e+04       7.119921588517e-03       7.119921588517e-03 
       4.881156447239e-01       3.674906240008e-03      -3.174291219035e+04      -3.190355902321e+04       3.739553495971e-03      -3.186771545769e+04       6.698848562816e-03       6.698848562816e-03 
       5.081964414488e-01       3.455514526685e-03      -3.235354129314e+04      -3.251612797387e+04       3.516299671749e-03      -3.247978691373e+04       6.298608522086e-03       6.298608522086e-03 
       5.299766700918e-01       3.238255300259e-03      -3.297395765551e+04      -3.313952484123e+04       3.295218584928e-03      -3.310250981236e+04       5.902583006491e-03       5.902583006491e-03 
       5.538405189622e-01       3.022047268367e-03      -3.360565767908e+04      -3.377510415209e+04       3.075207573169e-03      -3.373726193410e+04       5.508521721256e-03       5.508521721256e-03 
       5.803265340138e-01       2.810057060484e-03      -3.430880765040e+04      -3.448120770680e+04       2.859488064219e-03      -3.444267247530e+04       5.122083689340e-03       5.122083689340e-03 
       6.102194791087e-01       2.596484528652e-03      -3.505112345406e+04      -3.522752382732e+04       2.642158732112e-03      -3.518810973571e+04       4.732803661877e-03       4.732803661877e-03 
       6.447184049767e-01       2.380796746460e-03      -3.587626633326e+04      -3.605665007106e+04       2.422676746047e-03      -3.601633638406e+04       4.339643777126e-03       4.339643777126e-03 
       6.857656209771e-01       2.158683203274e-03      -3.680309844634e+04      -3.698824239504e+04       2.196656069134e-03      -3.694687052302e+04       3.934784253473e-03       3.934784253473e-03 
       7.367420631734e-01       1.925112003549e-03      -3.789151861460e+04      -3.808205726429e+04       1.958983729606e-03      -3.803947533593e+04       3.509928508549e-03       3.509928508549e-03 
       8.040554955073e-01       1.673087161442e-03      -3.922540523286e+04      -3.942263955813e+04       1.702525870612e-03      -3.937856059955e+04       3.050580378764e-03       3.050580378764e-03 
       9.008920713074e-01       1.392565714408e-03      -4.097424478879e+04      -4.118026599269e+04       1.417062202001e-03      -4.113422291824e+04       2.538355538717e-03       2.538355538717e-03 
       1.054131583796e+00       1.077486050349e-03      -4.341856604101e+04      -4.363687241068e+04       1.096444756798e-03      -4.358808347536e+04       1.964593969547e-03       1.964593969547e-03 
